requestedUrl,finalUrl,category,name,title,type,score
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","button-name","Buttons have an accessible name","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","binary","0"
"https://localhost:8080/","https://localhost:8080/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","duplicate-id-aria","ARIA IDs are unique","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","heading-order","Heading elements are not in a sequentially-descending order","binary","0"
"https://localhost:8080/","https://localhost:8080/","Accessibility","html-has-lang","`<html>` element does not have a `[lang]` attribute","binary","0"
"https://localhost:8080/","https://localhost:8080/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","image-alt","Image elements have `[alt]` attributes","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","label","Form elements have associated labels","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","link-name","Links have a discernible name","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","meta-refresh","The document does not use `<meta http-equiv=""refresh"">`","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","meta-viewport","`[user-scalable=""no""]` is not used in the `<meta name=""viewport"">` element and the `[maximum-scale]` attribute is not less than 5.","binary","1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","object-alt","`<object>` elements have `[alt]` text","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","tabindex","No element has a `[tabindex]` value greater than 0","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.","notApplicable","-1"
"https://localhost:8080/","https://localhost:8080/","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
